University,State,Private,SATm,SATv,SAT,ACT,SATm25,SATm75,SATv25,SATv75,ACT25,ACT75,Apps,Accept,Enroll,Top10perc,Top25perc,F.Undergrad,P.Undergrad,Instate,Outstate,Room.Board,Room,Board,Fees,Books,Personal,PhD,Terminal,S.F.Ratio,perc.Alumni,Expend,Grad.Rate,Sal.Prof,Sal.Assoc,Sal.Assist,Sal.All,Comp.Prof,Comp.Assoc,Comp.Assist,Comp.All,Num.Prof,Num.Assoc,Num.Assist,Num.Instruct,Num.Faculty
Saint Mary's College,IN,2,538,488,1026,25,490,600,430,530,23,27,888,734,393,26,60,1433,27,12730,12730,4514,2652,1862,901,500,1525,74,95,9.9,31,11165,98,524,391,331,388,675,509,435,505,21,43,52,1,117
Saint Meinrad College,IN,2,*,*,*,*,*,*,*,*,18,23,69,44,36,30,44,118,*,6004,6004,4226,*,*,76,400,2100,67,67,4.9,23,*,*,357,*,*,332,405,*,*,376,6,3,5,1,15
Taylor University,IN,2,579,513,1092,25,570,640,460,560,23,28,1769,1092,437,41,80,1757,81,10965,10965,4000,1900,2100,210,450,1250,60,61,14.2,32,8294,98,404,352,300,355,555,486,382,480,36,31,25,3,95
Tri-State University,IN,2,502,409,911,21,440,570,360,460,18,24,1262,1102,276,14,40,978,98,9456,9456,4350,*,*,186,468,1323,53,53,12.8,24,7603,65,395,324,291,340,485,395,356,415,23,28,10,3,64
University of Notre Dame,IN,2,650,570,1220,*,620,720,540,640,*,*,7700,3700,1906,79,96,7671,30,16850,16850,4400,4400,*,147,600,1350,96,92,13.1,46,13936,97,798,562,470,637,985,701,573,787,274,195,164,11,644
Valparaiso University,IN,2,*,*,*,*,530,670,470,590,25,30,2075,1727,520,49,81,2501,198,11800,11800,3260,1300,1960,450,500,800,87,89,14.2,23,9681,95,559,423,372,446,681,525,459,548,67,58,74,5,204
Wabash College,IN,2,*,*,*,*,540,660,440,580,*,*,800,623,256,41,76,801,5,12925,12925,4195,1480,2715,250,500,635,78,85,9.9,55,14904,72,612,474,371,501,770,602,482,637,31,22,20,1,74
Indiana State University,IN,1,434,391,825,20,360,500,330,450,17,22,5659,4761,3147,10,31,8596,1949,2802,6892,3706,*,*,*,600,2500,72,76,16.6,8,6996,40,500,394,343,423,647,513,438,545,248,133,151,16,548
Baker University,KS,2,*,*,*,23,*,*,*,*,20,25,602,483,206,21,47,958,466,8620,8620,4100,1900,2200,310,400,2250,58,68,11.0,21,6136,65,369,318,288,327,443,396,346,397,18,18,16,0,52
Bethany College,KS,2,*,*,*,23,*,*,*,*,18,24,878,816,200,16,41,706,62,8740,8740,3363,1463,1900,105,550,1700,62,68,11.6,29,7718,48,335,280,248,281,415,360,308,350,16,9,24,2,51
Bethel College,KS,2,*,*,*,22,*,*,*,*,19,26,202,184,122,19,42,537,101,8540,8540,3580,1960,1620,200,500,1400,61,80,8.8,32,8324,56,325,285,267,285,408,356,336,358,16,19,8,5,48
Fort Hays State University,KS,1,*,*,*,*,*,*,*,*,*,*,1363,1363,806,*,33,3640,706,1734,4869,2950,2950,*,*,500,*,65,68,18.1,*,5804,44,446,378,325,377,556,475,412,474,84,56,71,21,232
Pittsburg State University,KS,1,*,*,*,21,*,*,*,*,*,*,1419,1313,813,11,30,4469,499,1778,5424,3000,3000,*,*,300,2000,52,52,23.2,*,1834,58,450,381,331,375,567,484,425,477,103,76,70,4,291
Emporia State University,KS,1,*,*,*,20,*,*,*,*,18,23,1256,1256,853,43,79,3957,588,1729,5401,3144,1512,1632,*,450,1888,72,75,19.3,4,5527,50,435,390,330,367,553,499,427,471,67,67,78,26,238
Kansas State University,KS,1,*,*,*,*,*,*,*,*,19,26,5880,4075,2833,25,55,14914,2246,1713,6995,3120,3120,*,403,600,2000,76,86,18.5,22,6122,54,550,419,368,440,686,530,466,554,305,231,259,63,858
Kansas Wesleyan University,KS,2,*,*,*,21,*,*,*,*,*,*,589,575,148,16,40,474,258,8400,8400,3250,1850,1400,120,500,1400,63,55,12.4,14,6535,68,337,290,265,293,394,343,299,340,11,14,10,3,38
McPherson College,KS,2,*,*,*,22,*,*,*,*,*,*,420,293,93,11,32,336,80,7950,7950,3750,1550,2200,260,600,2740,54,54,9.8,45,9754,48,318,274,254,272,397,353,313,342,7,16,11,3,37
Ottawa University,KS,2,*,*,*,*,*,*,*,*,16,24,607,388,236,8,19,538,36,7250,7250,3245,1945,1300,*,400,2730,47,57,14.5,19,*,46,338,292,264,284,410,348,309,338,13,12,22,8,55
Southwestern College,KS,2,*,*,*,21,*,*,*,*,*,*,213,155,75,28,66,504,147,7200,7200,3532,*,*,*,550,1500,56,56,11.8,12,7818,52,340,318,278,311,415,388,341,380,16,10,10,3,39
Saint Mary College,KS,2,*,*,*,*,*,*,*,*,20,26,273,229,66,25,60,439,415,7800,7800,3880,3820,*,270,800,*,50,80,8.2,45,7364,53,336,301,261,282,390,358,313,335,10,11,15,5,43
Tabor College,KS,2,*,*,*,22,*,*,*,*,*,*,257,183,109,19,41,396,38,7850,7850,3410,2010,1400,200,400,1500,55,70,10.0,15,7233,53,304,*,222,257,385,*,282,326,8,5,8,3,24
University of Kansas,KS,1,*,*,*,23,*,*,*,*,20,26,8579,5561,3681,25,50,17880,1673,1650,6994,3384,*,*,388,700,2681,88,94,13.7,17,9657,57,579,422,367,485,714,529,458,603,474,297,204,6,981
Washburn University,KS,1,*,*,*,*,*,*,*,*,*,*,1100,1078,560,*,36,3157,2705,2790,4774,3210,1410,1800,32,450,1000,82,82,13.8,*,5828,53,594,438,333,457,719,540,416,561,76,55,59,11,201
Wichita State University,KS,1,*,*,*,21,*,*,*,*,18,24,2901,2236,896,*,39,6550,5083,1650,6994,3299,*,*,465,450,350,82,87,20.4,17,5950,32,555,417,361,415,679,518,450,514,101,154,188,24,467
MidAmerica Nazarene College,KS,2,*,*,*,22,*,*,*,*,18,24,331,331,225,15,36,1100,166,6840,6840,3720,*,*,472,1100,4913,33,33,15.4,20,5524,49,371,305,265,300,457,378,329,372,18,12,24,6,60
Benedictine College,KS,2,*,*,*,*,400,470,430,540,19,27,632,620,222,14,24,702,501,9550,9550,3850,2250,1600,210,350,250,64,84,14.1,18,5922,58,335,316,278,296,374,368,327,342,11,16,16,7,50
Bellarmine College,KY,2,515,474,989,23,460,580,410,540,20,26,807,707,308,39,63,1198,605,8840,8840,2950,1950,1000,100,750,1290,74,82,13.1,31,6668,84,473,385,326,394,583,480,396,482,32,18,27,7,84
Berea College,KY,2,514,465,979,22,*,*,*,*,*,*,1836,599,455,35,60,1540,51,*,*,2835,1355,1480,188,450,1027,77,81,13.2,34,11719,57,552,428,355,436,675,518,421,525,32,43,31,6,112
Brescia College,KY,2,*,*,*,*,*,*,*,*,18,24,307,260,99,17,42,452,249,7500,7500,3200,3200,*,*,650,*,49,54,10.1,57,6554,56,*,322,273,299,*,390,324,357,4,10,14,4,32
Campbellsville College,KY,2,*,*,*,*,*,*,*,*,19,25,848,587,298,25,55,935,184,6060,6060,3070,1850,1220,*,600,1300,62,66,17.7,13,5391,49,342,278,252,277,422,350,318,347,12,11,16,7,46
Spalding University,KY,2,*,*,*,20,*,*,*,*,*,*,283,201,97,10,45,589,263,8400,8400,2800,*,*,96,600,900,50,56,10.6,40,6860,89,359,315,289,313,416,370,333,363,15,22,26,3,66
Centre College,KY,2,575,534,1109,27,500,650,480,590,25,29,1013,888,288,55,82,943,7,11850,11850,4270,2120,2150,350,600,900,95,99,11.4,60,13118,74,521,418,351,431,653,514,423,532,27,21,21,4,73
Cumberland College,KY,2,470,420,890,21,410,540,350,480,18,24,995,789,398,26,47,1306,122,6230,6230,3526,3526,*,32,400,600,42,44,13.0,4,8189,63,354,291,272,286,438,362,337,355,17,23,32,20,97
Eastern Kentucky University,KY,1,*,*,*,19,*,*,*,*,*,*,5443,5135,2445,*,*,11208,3350,1700,4700,3196,1960,1236,*,600,*,82,82,19.8,*,5394,39,519,439,371,442,648,551,468,555,237,135,185,29,586
Georgetown College,KY,2,*,*,*,22,*,*,*,*,20,26,727,693,286,30,55,1063,48,8000,8100,3950,1975,1975,50,550,550,73,76,13.3,28,7508,55,398,338,297,343,493,418,352,420,29,18,19,6,72
Kentucky State University,KY,1,*,*,*,*,348,480,290,415,16,20,1636,952,424,6,22,1544,896,1340,4120,2682,1456,1226,100,510,*,60,61,15.0,*,8372,19,460,403,329,377,576,505,416,474,26,35,52,5,118
Kentucky Wesleyan College,KY,2,450,410,860,22,410,540,360,490,19,25,584,497,175,20,49,662,121,8000,8000,4150,2300,1850,200,500,1300,57,65,11.3,32,7058,62,383,326,292,327,474,404,358,405,17,18,11,5,51
Lindsey Wilson College,KY,2,*,*,*,18,*,*,*,*,*,*,1089,865,382,*,*,1006,164,6600,6600,3550,1400,2150,80,400,500,32,*,19.3,*,5067,*,*,359,278,294,*,427,331,349,2,7,11,18,38
Morehead State University,KY,1,*,*,*,20,*,*,*,*,17,21,2825,2495,1300,*,*,6311,975,1580,4740,2950,*,*,320,500,1050,58,58,19.9,8,5175,52,478,395,322,373,600,498,410,472,87,89,123,37,336
Murray State University,KY,1,*,*,*,22,*,*,*,*,19,24,2225,1910,1190,29,55,5968,955,1580,4738,3110,1290,1820,280,700,940,72,76,20.2,27,5972,52,462,396,342,383,601,520,451,503,95,101,101,7,336
Pikeville College,KY,2,*,*,*,*,*,*,*,*,15,22,404,400,169,28,48,797,100,6000,6000,3000,3000,*,130,500,500,48,57,13.4,14,5557,61,359,314,275,304,434,377,332,367,8,25,15,3,51
Transylvania University,KY,2,564,532,1096,26,500,650,460,610,23,29,759,729,244,57,81,867,51,10900,10900,4450,2480,1970,450,500,1000,81,91,12.1,41,10219,70,447,393,318,384,627,526,424,521,18,25,18,2,63
Union College,KY,2,440,390,830,20,340,480,300,430,17,26,484,384,177,9,45,634,78,7800,7800,2950,2950,*,*,500,600,60,88,14.1,9,6864,64,314,287,255,277,383,353,304,335,11,20,8,9,48
University of Kentucky,KY,1,*,*,*,25,*,*,*,*,21,26,7769,5689,2675,*,*,14931,2596,2160,6640,3226,*,*,330,450,1340,95,97,12.2,12,11098,52,634,473,418,521,760,574,504,628,470,416,308,6,1200
University of Louisville,KY,1,*,*,*,21,*,*,*,*,*,*,4777,3057,1823,16,33,9844,6198,2180,6540,3600,*,*,210,530,2440,84,92,11.1,24,10207,31,584,442,368,476,715,547,449,584,276,208,169,12,674
Thomas More College,KY,2,512,452,964,23,*,*,*,*,*,*,808,594,218,*,*,756,502,9490,9490,3892,2248,1644,110,400,880,65,55,10.5,18,7678,66,352,324,277,312,432,394,345,382,12,30,18,1,62
Western Kentucky University,KY,1,*,*,*,*,*,*,*,*,18,23,4441,3260,2082,*,*,10264,2910,1801,4961,3149,1316,1833,221,500,1100,66,70,19.1,10,5063,45,485,408,347,413,613,517,442,524,223,135,144,43,553
Northern Kentucky University,KY,1,*,*,*,*,*,*,*,*,17,22,2920,2506,1682,*,*,7112,3832,1720,4720,2900,2900,*,*,500,500,66,77,17.7,20,4745,52,506,427,350,388,623,529,432,478,83,96,90,14,341
Centenary College of Louisiana,LA,2,550,500,1060,25,460,610,440,570,22,28,495,434,210,35,55,775,44,8950,8950,3490,1470,2020,306,600,1900,86,92,11.3,25,9685,66,499,380,324,412,625,468,396,512,28,20,16,2,66
Dillard University,LA,2,*,*,*,20,*,*,*,*,*,*,1998,1376,651,41,88,1539,45,6700,6700,3650,*,*,*,500,2307,52,52,14.1,12,7566,61,494,373,342,350,567,437,398,406,8,15,59,10,96
Nicholls State University,LA,1,*,*,*,19,*,*,*,*,16,21,2020,1898,1092,*,*,4921,1338,1980,4572,2550,*,*,37,600,2307,65,65,21.8,*,4466,36,440,361,316,338,535,439,385,412,72,67,82,40,286
Grambling State University,LA,1,*,*,*,*,*,*,*,*,15,18,4847,3518,1900,27,65,6567,261,1044,1044,1306,775,531,12,500,1200,46,44,24.6,*,5034,58,442,392,329,349,491,437,369,391,48,48,124,45,265
Louisiana College,LA,2,*,*,*,*,*,*,*,*,21,23,2013,1053,212,33,61,912,158,5150,5150,3036,*,*,420,500,1655,64,74,10.5,11,7547,59,375,324,308,338,484,427,401,440,25,13,18,4,60
Louisiana Tech University,LA,1,*,*,*,22,*,*,*,*,19,25,2397,2144,1525,22,45,6720,1822,2262,3957,2325,1245,1080,*,618,1656,66,77,20.0,13,4546,45,472,408,344,391,549,494,418,467,129,93,131,36,389
Louisiana State University at Baton Rouge,LA,1,529,468,997,23,460,610,400,540,20,26,5996,4993,3079,29,57,16269,3757,2625,5925,2980,1720,1260,75,600,2242,83,87,15.9,11,6741,37,594,437,379,464,711,527,461,559,561,387,313,178,1439
Louisiana State University at Shreveport,LA,1,*,*,*,*,*,*,*,*,17,22,675,645,500,*,*,2413,1477,1950,4990,1680,*,1680,130,617,2307,62,75,18.1,*,4287,35,458,414,337,385,539,498,403,458,53,37,48,18,156
University of New Orleans,LA,1,500,447,947,21,*,*,*,*,18,23,2406,2139,1501,*,*,8158,3643,2362,5154,3116,1557,1566,*,800,1790,75,75,17.9,11,5260,19,512,378,352,404,609,453,423,483,199,128,116,67,510
Loyola University,LA,2,540,510,1050,25,480,590,440,570,23,27,1891,1698,719,24,80,2740,761,11100,11100,5870,2980,2890,190,600,750,77,88,11.7,14,9456,53,593,451,393,476,728,560,482,587,77,103,45,2,241
McNeese State University,LA,1,*,*,*,19,*,*,*,*,16,21,2066,2031,1525,*,*,6020,1317,1966,3450,2310,1110,1200,*,650,1608,69,73,21.1,12,3976,34,456,374,323,363,554,458,398,446,76,77,104,33,290
Northeast Louisiana University,LA,1,*,*,*,20,*,*,*,*,16,22,2963,2814,1840,*,41,8718,1707,1644,3804,1980,*,*,282,617,1655,57,61,20.6,17,4092,21,459,376,325,343,559,458,396,418,88,102,159,100,449
Northwestern State University of Louisiana,LA,1,*,*,*,20,*,*,*,*,16,22,2671,2671,1330,*,*,5742,1969,2040,4040,2216,1236,980,143,500,1600,67,69,29.5,11,4587,33,418,360,312,335,500,432,375,403,44,47,98,34,223
Our Lady of Holy Cross College,LA,2,*,*,*,*,*,*,*,*,*,*,246,217,171,*,*,674,472,4400,4400,*,*,*,95,534,*,72,83,16.1,*,5053,73,*,306,325,314,*,378,400,385,1,9,9,6,25
Southeastern Louisiana University,LA,1,*,*,*,19,*,*,*,*,*,*,3247,3247,2297,*,*,9724,2192,1910,3854,2230,1030,1200,*,250,*,61,61,24.3,13,3666,29,468,405,329,348,566,486,398,421,68,68,163,90,389
Southern University at New Orleans,LA,1,*,*,*,17,*,*,*,*,10,18,900,900,490,10,30,2911,1089,1451,3009,*,*,*,*,600,*,62,68,19.6,*,4355,35,406,329,298,320,487,397,361,387,23,22,64,11,120
Tulane University,LA,2,*,*,*,*,560,670,490,616,*,*,7033,5125,1223,47,75,4941,1534,19040,19040,5950,2690,3260,510,350,800,98,98,9.1,21,16920,74,713,514,418,564,876,646,514,699,172,166,115,3,456
University of Southwestern Louisiana,LA,1,*,*,*,19,*,*,*,*,16,21,4299,4250,2664,*,*,11767,3219,1898,4898,2082,*,*,*,560,*,63,67,22.7,9,4099,30,533,409,359,402,633,493,434,483,147,136,167,98,548
Xavier University of Louisiana,LA,2,469,438,890,21,395,535,375,496,18,23,2097,1915,695,34,61,2793,166,6900,6900,4200,*,*,200,617,781,67,75,14.4,20,8323,49,459,389,332,352,546,456,386,413,37,41,91,34,203
Southern University and A & M College,LA,1,*,*,*,17,*,*,*,*,14,18,2431,2416,1711,37,45,7534,775,2028,3950,2982,1208,1508,*,600,600,50,50,15.9,*,5244,33,455,392,336,367,538,464,398,434,100,88,210,48,446
Amherst College,MA,2,685,639,1324,25,640,740,600,690,28,32,4302,992,418,83,96,1593,5,19760,19760,5300,2650,2650,272,660,1598,93,98,8.4,63,21424,100,726,516,425,610,917,661,546,774,87,23,43,0,153
Anna Maria College,MA,2,*,*,*,*,420,490,410,480,*,*,350,283,82,9,34,367,406,10800,10800,4835,*,*,550,500,*,45,45,11.7,13,5982,82,407,364,318,341,499,470,377,416,6,9,14,4,33
Assumption College,MA,2,*,*,*,*,430,530,400,500,*,*,2135,1700,491,23,59,1708,689,12000,12000,5920,*,*,125,500,500,93,93,13.8,30,7100,88,479,400,325,385,610,518,413,492,22,42,40,3,107
Merrimack College,MA,2,520,480,1000,*,470,530,430,520,*,*,1981,1541,514,18,36,1927,1084,12500,12500,6200,2750,3450,175,375,1000,73,75,16.8,22,8707,80,507,393,326,395,652,518,407,510,24,63,38,0,125
Babson College,MA,2,*,*,*,*,520,630,430,530,*,*,2007,1139,407,30,68,1680,*,16600,16600,6985,2495,4490,660,500,1045,93,93,16.8,18,15286,94,787,613,557,633,975,769,700,790,31,45,31,3,119
Bentley College,MA,2,*,*,*,*,480,600,400,500,*,*,3466,2330,640,20,60,3095,1533,13800,13800,5510,2730,2780,65,630,850,87,87,17.5,20,10941,82,717,566,493,575,894,708,599,712,48,84,56,10,198
Berklee College of Music,MA,2,*,*,*,*,*,*,*,*,*,*,1975,1516,712,*,*,2223,304,11550,11550,6990,*,*,385,400,1115,15,54,10.2,2,9719,38,504,402,329,381,605,491,405,466,17,59,61,2,139
Boston College,MA,2,*,*,*,*,600,690,520,610,*,*,13112,6179,2154,66,94,8807,*,16640,16640,6960,3130,3830,448,500,1300,95,95,16.6,27,10989,90,784,569,496,614,964,717,604,761,165,245,126,10,556
Bradford College,MA,2,*,*,*,*,*,*,*,*,*,*,443,330,151,5,36,453,42,14080,14080,6270,3500,2750,260,500,900,57,80,10.2,21,15387,46,447,352,310,346,557,450,384,435,9,18,8,6,41
Brandeis University,MA,2,*,*,*,*,570,690,530,640,*,*,4186,2743,740,48,77,2819,62,19380,19380,6750,3500,3250,450,410,1000,90,97,9.8,24,17150,84,687,493,403,550,859,619,496,686,142,71,40,3,299
Clark University,MA,2,*,*,*,*,500,630,440,560,*,*,2887,2059,457,30,61,1928,296,17500,17500,4200,2000,2200,440,500,950,94,95,10.5,35,11951,79,664,469,395,522,822,593,488,651,58,64,38,0,160
Elms College,MA,2,450,440,890,*,420,440,420,440,*,*,245,208,125,23,46,544,436,11800,11800,4765,4765,*,400,450,1700,71,71,11.3,21,8952,86,431,353,305,342,524,429,371,415,10,18,19,5,52
College of the Holy Cross,MA,2,627,573,1200,*,590,670,550,640,*,*,2994,1691,659,70,95,2675,22,18000,18000,6300,6300,*,355,400,900,92,96,11.3,55,12138,95,695,506,406,519,875,627,500,644,44,84,54,4,186
Emerson College,MA,2,505,515,1020,*,450,570,460,570,*,*,1849,1228,492,19,51,2025,169,15200,15200,7782,4590,3192,348,500,933,*,88,18.0,*,10602,62,669,502,386,488,874,652,494,632,21,33,35,3,92
Gordon College,MA,2,509,483,992,*,440,580,420,540,*,*,674,565,282,25,54,1151,39,12200,12200,4070,1470,2600,520,400,1200,73,82,14.2,32,9226,66,432,352,319,381,578,467,424,505,35,18,13,5,71
Harvard University,MA,2,*,*,*,*,680,770,630,720,*,*,13865,2165,1606,90,100,6862,320,18485,18485,6410,3370,3040,1335,500,1920,97,97,9.9,52,37219,100,1009,559,500,793,1236,723,653,989,654,149,255,8,1172
Lasell College,MA,2,390,410,800,*,320,430,340,440,*,*,618,540,171,8,21,470,59,11475,11475,6200,*,*,525,600,2150,32,56,9.1,23,10066,*,*,336,322,320,*,403,389,387,3,7,13,4,27
University of Massachusetts at Lowell,MA,1,504,447,951,*,440,550,400,490,*,*,3986,3026,1093,8,29,5740,4182,4694,9838,4164,1774,2390,*,500,1160,81,84,16.1,*,7607,53,664,539,464,587,805,662,577,717,223,191,52,10,476
Massachusetts Institute of Technology,MA,2,742,639,1381,31,720,780,570,690,29,33,6411,2140,1078,96,99,4481,28,20100,20100,5975,3200,2775,600,725,1600,99,99,10.1,35,33541,94,903,637,528,757,1124,806,678,951,583,177,164,36,989
Bridgewater State College,MA,1,482,441,923,*,425,520,390,480,*,*,4915,3340,1064,4,21,5356,1502,1408,5542,3991,2291,1700,2014,500,1750,73,74,17.1,*,4666,51,517,440,400,468,672,583,542,617,144,53,41,17,255
Fitchburg State College,MA,1,467,424,891,*,410,510,370,460,*,*,2857,2090,577,5,20,2879,1412,1408,5542,4030,2330,1700,1826,450,1555,*,*,14.7,26,4861,57,512,429,395,444,644,540,501,560,87,56,70,11,224
North Adams State College,MA,1,470,427,897,*,*,*,*,*,*,*,1563,1005,240,1,19,1380,136,1408,5542,4330,2400,1930,2147,500,1000,65,71,14.2,17,6562,57,510,394,361,428,642,507,468,546,34,34,21,2,91
Westfield State College,MA,1,460,420,880,*,400,500,400,400,*,*,3100,2150,825,3,20,3234,941,1408,5542,3788,2600,1188,1746,500,1300,75,79,15.7,20,4222,65,523,419,378,457,662,530,478,578,79,46,44,0,169
Worcester State College,MA,1,436,400,832,*,*,*,*,*,*,*,2197,1515,543,4,26,3089,2029,2663,6797,3900,2660,1240,1255,500,1200,60,60,21.0,14,4469,40,528,456,370,463,669,585,483,593,81,44,30,13,168
Mount Holyoke College,MA,2,571,549,1120,27,535,635,480,605,*,*,1800,1314,526,47,79,1891,40,19300,19300,5700,2800,2900,735,750,750,79,91,9.0,51,18359,84,694,505,400,541,866,645,496,678,73,47,51,3,191
Northeastern University,MA,2,531,467,998,23,460,600,410,520,20,26,11901,8492,2517,16,42,11160,10221,13380,13380,7425,3990,3435,186,600,1750,73,82,12.9,17,9563,46,688,525,460,543,880,689,599,705,236,260,176,0,730
Regis College,MA,2,452,429,881,*,*,*,*,*,*,*,427,385,143,18,38,581,533,12700,12700,5800,5800,*,275,450,700,81,85,10.3,37,11758,84,504,425,345,407,627,542,426,513,9,20,14,1,46
Simmons College,MA,2,480,460,940,24,420,550,410,550,22,26,1003,782,295,23,53,1144,160,16160,16160,6950,*,*,518,500,1200,74,81,8.9,33,14086,79,589,471,386,477,724,592,482,593,54,54,53,6,167
Smith College,MA,2,*,*,*,*,550,650,520,630,25,30,2925,1598,632,51,88,2479,95,18820,18820,6390,*,*,163,500,1050,85,97,10.3,44,21199,90,732,514,405,591,932,646,502,747,127,70,59,6,262
University of Massachusetts at Dartmouth,MA,1,482,423,905,*,417,550,373,481,*,*,3347,2597,1006,10,37,4664,1630,1836,6919,4500,*,*,1999,500,1250,74,90,15.0,20,7462,56,572,482,420,526,722,611,535,665,203,61,32,1,321
Springfield College,MA,2,480,420,900,*,420,540,380,470,*,*,1888,1347,519,*,*,2160,131,9438,9438,4300,2100,2200,432,*,*,55,59,12.8,*,*,76,520,404,321,376,643,501,399,467,34,45,78,17,174
Stonehill College,MA,2,530,480,1010,*,480,580,440,520,*,*,3646,2300,585,25,69,2022,926,12170,12170,6172,*,*,275,480,800,79,79,13.0,30,7495,97,513,428,354,423,657,541,458,539,24,56,36,0,116
Suffolk University,MA,2,447,407,854,*,380,520,350,470,*,*,1247,980,356,11,32,2207,814,10584,10584,*,*,*,60,500,2400,95,95,13.3,15,9336,60,727,548,484,611,925,706,599,777,111,73,33,15,232
Tufts University,MA,2,*,*,*,*,610,700,540,630,*,*,7614,3605,1205,60,90,4598,*,19701,19701,5968,3038,2930,503,600,928,99,100,10.3,22,18981,92,735,549,447,592,964,710,607,777,148,157,98,2,405
University of Massachusetts at Amherst,MA,1,*,*,*,*,460,590,410,520,*,*,14438,12414,3816,12,39,16282,1940,2220,8566,3897,1712,2185,3247,500,1400,88,92,16.7,15,10276,68,704,537,438,607,880,680,557,762,650,306,146,7,1172
University of Massachusetts at Boston,MA,1,468,427,895,*,410,520,370,490,*,*,2237,1495,800,10,29,6034,4954,2220,8568,*,*,*,2028,560,1221,86,88,14.5,10,10132,41,656,543,445,549,813,679,563,686,154,186,100,1,473
Wellesley College,MA,2,630,600,1230,*,580,690,550,660,*,*,2895,1249,579,80,96,2195,156,18345,18345,5995,3055,2940,360,500,700,94,98,10.6,51,21409,91,757,550,453,603,988,712,570,779,97,44,74,4,222
Western New England College,MA,2,447,390,837,*,380,510,340,440,*,*,1650,1471,409,7,21,1803,1116,8994,8994,5500,5500,*,800,498,2065,74,97,15.4,15,8409,59,659,497,437,543,823,632,545,682,54,42,29,6,131
Wheaton College,MA,2,550,530,1080,24,500,600,490,580,22,27,1738,1373,417,21,55,1335,30,18460,18460,5970,2900,3070,120,700,850,92,96,13.2,41,22704,71,602,435,357,486,740,539,448,601,44,16,25,6,91
Wheelock College,MA,2,438,415,853,*,360,500,340,460,*,*,399,335,161,*,25,736,29,13472,13472,5528,5528,*,*,400,*,74,74,9.6,40,12113,74,545,420,362,415,662,518,433,505,8,20,20,1,49
Williams College,MA,2,*,*,*,*,650,740,600,710,29,32,4186,1245,526,81,96,1988,29,19629,19629,5790,2855,2935,141,500,1200,94,99,9.0,64,22014,99,707,503,417,543,923,669,566,719,77,36,88,0,213
Worcester Polytechnic Institute,MA,2,660,540,1200,28,600,700,490,590,*,*,2768,2314,682,49,86,2802,86,15884,15884,5370,2790,2580,346,530,730,92,94,15.2,34,10774,82,659,527,451,546,842,680,557,693,75,70,58,4,212
Capitol College,MD,2,460,420,880,*,*,*,*,*,*,*,100,90,35,10,52,282,331,8400,8400,2812,2812,*,195,300,2134,10,50,12.1,24,7976,52,*,344,*,352,*,406,*,416,5,7,5,0,17
Bowie State University,MD,1,384,357,741,*,349,449,349,449,*,*,1643,882,407,*,*,2179,1089,2141,4869,4075,2384,1691,673,600,2200,57,*,22.0,5,7848,17,510,433,349,401,647,554,452,515,31,28,51,14,127
College of Notre Dame of Maryland,MD,2,500,470,970,*,440,580,410,540,*,*,457,356,177,35,61,667,1983,11180,11180,5620,*,*,100,600,700,64,64,11.5,32,7477,75,443,377,309,362,493,441,365,419,19,25,29,3,76
Columbia Union College,MD,2,*,*,*,*,360,590,370,490,17,23,1301,957,101,13,34,514,466,9500,9500,3450,1950,1500,260,700,*,47,49,13.9,*,9431,63,308,297,293,296,344,329,325,329,17,9,11,5,42
Coppin State College,MD,1,393,370,763,18,*,*,*,*,*,*,1478,723,381,*,*,1863,775,2600,5000,4540,4540,*,94,500,700,69,69,16.3,*,7160,*,557,435,366,431,707,559,476,554,26,32,36,4,103
Frostburg State University,MD,1,476,426,902,*,420,530,380,480,*,*,2916,2167,911,*,*,4147,449,2431,5428,4390,2280,2110,418,700,950,78,78,17.8,12,5491,54,498,423,366,416,646,538,468,530,76,56,70,8,228
Goucher College,MD,2,572,539,1111,*,510,630,470,610,*,*,1151,813,248,40,64,850,80,15588,15588,6174,4114,2060,100,500,1200,78,90,9.2,34,16623,77,529,387,358,411,661,489,452,518,21,27,23,4,75
Hood College,MD,2,509,485,994,24,440,580,430,540,21,28,699,565,176,36,64,710,399,13960,13960,6040,*,*,150,450,690,82,88,14.4,34,12434,72,516,425,352,402,665,530,434,502,14,21,40,1,76
Johns Hopkins University,MD,2,686,606,1292,30,660,740,560,660,*,*,8474,3446,911,75,94,3566,1569,18800,18800,6740,3815,2925,*,500,1040,96,97,3.3,38,56233,90,798,542,435,593,972,677,551,734,330,110,160,52,767
Loyola College,MD,2,563,507,1070,*,510,620,460,580,*,*,4076,3137,738,25,54,3010,184,12990,12990,6300,*,*,190,600,900,86,88,14.7,27,9448,80,632,500,397,482,802,640,511,617,50,76,89,5,222
Morgan State University,MD,1,444,427,871,*,*,*,*,*,*,*,5892,3034,1358,20,80,4517,745,1794,4136,4640,*,*,643,550,*,80,80,18.2,36,6867,29,594,517,439,450,743,651,558,571,26,41,91,42,229
Mount Saint Mary's College,MD,2,510,460,970,*,440,570,400,510,*,*,1321,1159,328,15,36,1243,79,12850,12850,6200,3100,3100,*,550,900,77,82,12.8,36,8536,80,465,384,311,358,563,487,382,448,14,29,34,4,85
