FICE	name	State	type	SATm	SATv	SAT	ACT	SATm25	SATm75	SATv25	SATv75	ACT25	ACT75	new.applied	new.accepted	new.enrolled	new.top10HS	new.top25HS	undergrads	parttime	tuition.in	tuition	room+board	room	board	cost.fees	cost.books	cost.pers	fac.phd	fac.term	sf.ratio	donate	exp.stud	graduate	College	College.aaup	State.aaup	type.aaup	sal.prof	sal.assoc	sal.assist	sal.all	comp.prof	comp.assoc	comp.assist	comp.all	profs	assocs	assists	instruct	faculty
1706	                          Lake Forest C.	IL	private	*	*	*	*	480	600	440	560	22	27	  979	  638	 271	31	 70	  968	   20	16880	16880	3970	1740	2230	 230	 920	1320	 91	 94	10.7	19	15687	 77	                          Lake Forest College	            Lake Forest College	IL	IIB	 644	475	402	495	 843	650	543	 662	 26	 22	 24	  5	  81
1707	                                Lewis U.	IL	private	*	*	*	20	*	*	*	*	19	23	 1154	 1050	 395	12	 31	 2192	 1423	10560	10560	4520	2030	2490	*	 500	1200	 36	 48	14.3	10	 7701	 61	                             Lewis University	               Lewis University	IL	IIA	 467	392	330	357	 561	481	407	 437	 37	 20	 29	 52	 138
1710	                       Loyola U. Chicago	IL	private	529	482	1011	24	470	590	430	540	21	26	 3579	 2959	 868	25	 55	 5244	 3417	11500	11500	5330	*	*	 350	 700	2000	 94	 95	 6.2	15	13009	 65	                    Loyola University Chicago	        Loyola Univ. of Chicago	IL	I	 761	536	433	570	 924	664	536	 701	164	230	163	  6	 563
1717	                            MacMurray C.	IL	private	*	*	*	21	*	*	*	*	18	23	  740	  558	 177	12	 29	  628	   63	 9620	 9620	3750	2050	1700	*	 550	 950	 49	 55	10.8	33	10642	 59	                            MacMurray College	              MacMurray College	IL	IIB	 324	263	250	262	 393	334	307	 318	 13	  9	 16	 31	  69
1722	                            McKendree C.	IL	private	*	*	*	21	*	*	*	*	20	26	 1002	  555	 119	16	 43	  836	  684	 7680	 7680	3740	1820	1920	 135	 500	 800	 70	 74	17.7	21	 6652	 52	                            McKendree College	              McKendree College	IL	IIB	 433	397	341	381	 539	493	407	 467	 16	 10	 16	  5	  47
1724	                             Millikin U.	IL	private	541	511	1052	24	480	600	470	570	21	27	 1444	 1261	 456	29	 62	 1788	   95	11910	11910	4378	*	*	  91	 450	 965	 60	 77	11.4	25	 8149	 75	                          Millikin University	            Millikin University	IL	IIB	 478	409	313	386	 583	501	383	 472	 34	 38	 46	  6	 124
1725	                             Monmouth C.	IL	private	470	470	 940	23	*	*	*	*	18	27	  601	  503	 204	28	 57	  671	   11	13000	13000	4100	2100	2000	 200	 400	 460	 91	 91	11.6	43	11087	 56	                             Monmouth College	               Monmouth College	IL	IIB	 443	339	325	381	 544	412	385	 464	 20	 12	 11	  1	  44
1733	                       National-Louis U.	IL	private	*	*	*	17	*	*	*	*	16	22	  513	  347	 279	23	 48	 2508	  505	 9090	 9090	4500	4500	*	*	 650	 500	 62	 65	18.3	 2	 7905	 71	                    National-Louis University	      National-Louis University	IL	IIA	 490	405	337	348	 566	472	394	 405	 20	 51	120	 23	 253
1734	                        North Central C.	IL	private	556	483	1039	25	480	630	440	550	21	27	 1127	  884	 308	30	 64	 1310	  766	11718	11718	7398	*	*	 120	 450	1800	 73	 87	16.4	33	 8871	 76	                        North Central College	          North Central College	IL	IIB	 473	399	348	398	 588	501	437	 497	 24	 40	 28	  5	  97
1735	                           North Park C.	IL	private	526	466	 992	22	437	620	400	542	17	25	  465	  361	 176	19	 39	  879	  156	12580	12580	4345	2390	1955	*	 400	 970	 76	 79	13.1	24	10889	 74	                           North Park College	             North Park College	IL	IIB	 415	337	285	339	 540	426	352	 431	 23	 18	 18	  2	  65
1737	                    Northern Illinois U.	IL	public	*	*	*	22	*	*	*	*	20	25	10706	 7219	2397	12	 37	14826	 1979	 2600	 7799	3296	3296	*	 950	 470	1750	 73	 78	17.3	11	 6086	 56	                 Northern Illinois University	   Northern Illinois University	IL	I	 578	435	375	440	 667	509	443	 515	314	266	246	112	 944
1739	                                 N.W. U.	IL	private	670	600	1270	29	610	720	540	640	27	31	12289	 5200	1902	85	 98	 7450	   45	16404	16404	5520	*	*	*	 759	1585	 96	100	 6.8	25	26385	 92	                      Northwestern University	        Northwestern University	IL	I	 860	596	496	712	1045	735	602	 868	460	209	203	  0	 872
1741	                      Olivet Nazarene U.	IL	private	*	*	*	*	*	*	*	*	*	*	  678	  640	 388	*	 58	 1503	  293	 7700	 7700	4140	4140	*	 136	*	*	 39	 39	14.6	*	*	 54	                   Olivet Nazarene University	     Olivet Nazarene University	IL	IIA	 391	335	278	320	 476	412	346	 395	 26	 22	 36	  8	  92
1744	                            Principia C.	IL	private	548	496	1044	*	*	*	*	*	*	*	  205	  179	 129	13	 45	  570	   22	12816	12816	5344	2634	2710	 210	1125	2000	*	 47	 9.6	23	16506	 90	                            Principia College	              Principia College	IL	IIB	 465	400	345	395	 572	540	414	 490	 20	  9	 13	  7	  49
1745	                               Quincy U.	IL	private	528	496	1024	23	490	590	450	560	21	27	 1025	  707	 297	22	 66	 1070	   72	10100	10100	4140	1750	2390	 210	 450	1080	 69	 71	16.3	32	 6880	 80	                            Quincy University	              Quincy University	IL	IIB	 372	371	285	345	 459	462	351	 427	 18	 21	 14	  2	  55
1749	                            Roosevelt U.	IL	private	*	*	*	19	*	*	*	*	15	21	  422	  367	 218	13	 40	 1700	 2902	 8580	 8580	5100	5100	*	  80	 600	*	 75	 79	12.2	13	 8995	 77	                         Roosevelt University	           Roosevelt University	IL	IIA	 484	405	359	416	 610	517	464	 531	 50	 58	 42	  2	 152
1750	                               Rosary C.	IL	private	*	*	*	*	*	*	*	*	19	24	  434	  321	 141	28	 53	  624	  269	10950	10950	4600	*	*	  95	 550	 950	 79	 82	12.9	30	 9264	 81	                               Rosary College	                 Rosary College	IL	IIB	 448	378	377	382	 543	479	454	 468	 10	 25	 34	  3	  72
1758	      Southern Illinois U. at Carbondale	IL	public	*	*	*	22	*	*	*	*	18	23	*	*	2158	*	*	16961	 2499	 2318	 6953	3256	1920	1336	 864	 600	2608	 71	*	14.9	 6	 9158	 44	   Southern Illinois University at Carbondale	   Southern Ill.Univ-Carbondale	IL	I	 564	436	359	422	 657	517	431	 500	272	255	313	 33	 977
1759	    Southern Illinois U. at Edwardsville	IL	public	*	*	*	21	*	*	*	*	18	23	 2540	 2195	 994	13	 40	 6063	 2550	 1824	 5472	3598	1570	2028	 488	 221	2216	 76	 81	16.5	 8	 7498	 43	 Southern Illinois University at Edwardsville	   Southern Ill.Univ-Edwardsvle	IL	IIA	 531	442	389	453	 616	520	462	 531	168	126	 95	 24	 421
1767	                 Illinois Benedictine C.	IL	private	*	*	*	23	*	*	*	*	20	26	  607	  558	 269	22	 47	 1222	  519	10500	10500	4348	*	*	 150	 650	1500	 81	 91	11.6	29	 8324	 75	                 Illinois Benedictine College	   Illinois Benedictine College	IL	IIA	 463	395	315	409	 576	493	403	 511	 38	 36	 17	  0	  91
1768	                         Saint Xavier U.	IL	private	*	*	*	20	*	*	*	*	*	*	  785	  647	 295	15	 65	 1670	  726	10860	10860	4624	2666	1958	 110	 600	 794	 87	100	13.7	15	 8953	 55	                      Saint Xavier University	        Saint Xavier University	IL	IIA	 551	452	388	439	 667	548	471	 531	 22	 78	 53	  6	 159
1772	                              Trinity C.	IL	private	*	*	*	*	*	*	*	*	*	*	  746	  473	 317	39	 82	  834	   50	 9600	 9600	4110	2030	2080	  75	 600	1300	 54	 56	21.9	*	 5252	 28	                              Trinity College	                Trinity College	IL	IIB	*	346	291	320	*	406	347	 377	  5	 11	 13	  2	  31
1774	                              U. Chicago	IL	private	*	*	*	*	630	720	570	680	27	31	 6348	 2999	 922	68	 94	 3340	   39	18930	18930	6380	3070	3310	 486	 500	1254	 99	 99	 5.3	36	36854	 90	                        University of Chicago	          University of Chicago	IL	I	 894	586	515	742	1104	724	636	 916	467	138	161	 36	 802
1775	                    U. Illinois - Urbana	IL	public	617	522	1139	27	550	700	470	580	23	29	14939	11652	5705	52	 88	25422	  911	 2760	 7560	4574	1780	2794	 920	 500	1982	 87	 90	17.4	13	 8559	 81	              University of Illinois - Urbana	       Univ. of Illinois-Urbana	IL	I	 682	493	421	570	 783	574	494	 659	927	520	393	  1	1868
1776	                  U. Illinois at Chicago	IL	public	*	*	*	21	*	*	*	*	18	23	 8384	 5727	2710	22	 50	13518	 2916	 2520	 7230	5088	3198	1890	1108	 630	3228	 82	 84	10.0	 6	13883	 34	            University of Illinois at Chicago	      Univ. of Illinois-Chicago	IL	I	 656	476	411	513	 755	555	483	 596	401	369	296	 20	1135
1780	                          W. Illinois U.	IL	public	*	*	*	22	*	*	*	*	18	24	 6491	 5027	1563	 6	 24	 9015	 1449	 1902	 5706	3193	1843	1350	 705	 600	1993	 77	 77	17.2	*	 6566	 55	                  Western Illinois University	    Western Illinois University	IL	IIA	 506	427	350	421	 587	500	414	 493	241	171	123	 62	 606
1781	                              Wheaton C.	IL	private	*	*	*	*	570	670	510	620	25	30	 1432	  920	 548	56	 84	 2200	   56	11480	11480	4200	2440	1760	*	 530	1400	 81	 83	12.7	40	11916	 85	                              Wheaton College	                Wheaton College	IL	IIA	 510	437	368	452	 640	569	461	 574	 67	 54	 32	  3	 156
1785	                             Anderson U.	IN	private	462	423	 885	21	390	540	360	490	18	23	 1216	  908	 423	19	 40	 1819	  281	10100	10100	3520	1620	1900	 200	 550	1100	 48	 61	12.1	14	 7994	 59	                          Anderson University	            Anderson University	IN	IIB	 415	340	316	347	 532	427	389	 437	 43	 45	 36	 14	 138
1786	                           Ball State U.	IN	public	473	422	 895	21	400	530	360	470	18	24	 9361	 7910	3849	38	 50	16148	 2207	 2864	 7244	3608	3608	*	*	 500	1500	 69	*	17.7	25	 7449	 51	                        Ball State University	          Ball State University	IN	I	 517	410	332	384	 666	537	438	 501	297	160	350	155	 965
1787	                               Bethel C.	IN	private	490	453	 943	22	410	570	380	500	18	25	  495	  415	 267	15	 37	  733	  402	 9300	 9300	3000	1300	1700	*	 500	*	 51	 54	14.6	38	 6392	*	                               Bethel College	                 Bethel College	IN	IIB	*	*	285	295	*	*	363	 376	  5	  4	 26	  1	  36
1788	                               Butler U.	IN	private	544	484	1028	25	480	610	420	540	22	28	 2362	 2037	 700	40	 68	 2607	  148	13130	13130	4650	2480	2170	  65	 500	1600	 77	 81	10.9	29	 9511	 83	                            Butler University	              Butler University	IN	IIA	 521	442	366	439	 650	551	447	 544	 72	 66	 77	  3	 220
1792	                               DePauw U.	IN	private	*	*	*	*	540	670	490	610	23	28	 1994	 1656	 495	50	 80	 1983	   36	14300	14300	5020	2510	2510	 200	 550	 950	 78	 94	11.1	31	11525	 82	                            DePauw University	              DePauw University	IN	IIB	 540	433	361	452	 695	570	465	 587	 51	 57	 38	  0	 146
1793	                              Earlham C.	IN	private	570	550	1120	25	490	630	480	600	23	29	 1358	 1006	 274	35	 63	 1028	   13	15036	15036	4056	1899	2157	 273	 600	 600	 90	 94	10.6	46	14634	 78	                              Earlham College	                Earlham College	IN	IIB	 514	394	338	445	 639	483	414	 551	 44	 13	 22	  0	  79
1795	                           U. Evansville	IN	private	538	498	1036	*	470	600	420	550	22	27	 2096	 1626	 694	35	 67	 2551	  407	11800	11800	4340	2520	1820	 200	 700	 960	 60	 81	15.8	26	 7780	 77	                     University of Evansville	       University of Evansville	IN	IIA	 500	415	351	414	 602	505	415	 496	 57	 43	 58	  4	 170
1798	                             Franklin C.	IN	private	532	481	1013	22	480	630	430	580	*	*	  804	  632	 281	29	 72	  840	   68	10390	10390	4040	1790	2250	 110	 525	1345	 54	 78	12.5	37	11751	 60	                             Franklin College	    Franklin College of Indiana	IN	IIB	 440	363	325	381	 549	453	411	 477	 24	 16	 20	  0	  60
1799	                               Goshen C.	IN	private	519	487	1006	*	410	570	400	550	*	*	  440	  396	 221	26	 51	  910	  166	 9420	 9420	3730	1800	1930	*	 600	1230	 51	 56	 9.9	46	10270	 72	                               Goshen College	                 Goshen College	IN	IIB	 388	341	291	345	 479	410	344	 418	 37	 19	 28	  0	  84
1800	                   Grace C. and Seminary	IN	private	*	*	*	21	*	*	*	*	*	*	  548	  428	 167	18	 46	  618	  113	 8958	 8958	3670	1862	1956	*	 300	1000	 53	 59	15.3	26	 9798	 64	                   Grace College and Seminary	                  Grace College	IN	IIB	 326	264	228	285	 439	372	334	 395	 14	 11	  6	  0	  31
1801	                              Hanover C.	IN	private	541	486	1040	24	470	600	420	540	21	27	 1006	  837	 317	33	 65	 1024	   15	 8200	 8200	3485	1540	1945	 350	 500	1200	 84	 84	10.6	26	 9248	 64	                              Hanover College	                Hanover College	IN	IIB	 555	437	377	432	 682	539	455	 524	 28	 16	 35	 13	  92
1803	                           Huntington C.	IN	private	480	422	 902	21	480	565	375	458	18	24	  450	  430	 125	20	 46	  488	   43	 9950	 9950	3920	3920	*	 250	 300	1300	 76	 76	11.8	25	 9466	 47	                           Huntington College	             Huntington College	IN	IIB	 438	367	305	358	 544	455	379	 444	 11	 11	 13	  3	  38
1804	                         U. Indianapolis	IN	private	487	432	 919	21	400	570	370	490	18	25	 1487	 1276	 388	26	 51	 1417	 1646	11120	11120	4080	4080	*	  30	 525	1405	 55	 56	11.1	23	 6735	 69	                   University of Indianapolis	     University of Indianapolis	IN	IIA	 487	408	358	382	 620	515	433	 469	 16	 38	 52	 19	 125
1808	                     U. Southern Indiana	IN	public	429	384	 813	18	*	*	*	*	*	*	 2379	 2133	1292	 8	 25	 4283	 2973	 2040	 4973	3192	1660	1532	  20	 500	1425	 56	 65	22.0	21	 4078	 38	               University of Southern Indiana	      Univ. of Southern Indiana	IN	IIA	 493	421	377	384	 636	545	477	 491	 35	 38	 58	 50	 181
1809	               Indiana U. at Bloomington	IN	public	530	466	 996	24	*	*	*	*	*	*	16587	13243	5873	25	 72	24763	 2717	 2984	 9766	3990	*	*	 389	 600	2000	 77	 88	21.3	24	 8686	 68	            Indiana University at Bloomington	      Indiana Univ.-Bloomington	IN	I	 674	479	399	540	 852	615	507	 685	624	344	305	  1	1361
1811	                           Indiana U. E.	IN	public	*	*	*	*	330	480	320	420	14	23	  814	  814	 616	 6	 24	  988	 1356	 2369	 6140	*	*	*	 116	 570	*	 52	 76	13.8	29	 5153	 24	                           Indiana Univ. East	             Indiana Univ.-East	IN	IIB	*	405	327	341	*	529	424	 443	  5	 12	 24	  0	  59
1812	      Indiana U.-Purdue U. at Fort Wayne	IN	public	*	*	*	*	*	*	*	*	*	*	 2464	 2306	1714	 7	 32	 4981	 5917	 2090	 5170	*	*	*	  91	 500	2000	 67	 84	16.0	*	 4843	 41	     Indiana Univ.-Purdue Univ. at Fort Wayne	   Indiana-Purdue U.-Fort Wayne	IN	IIA	 498	408	340	385	 648	534	444	 503	 53	106	123	 15	 303
1813	    Indiana U.-Purdue U. at Indianapolis	IN	public	428	388	 816	19	360	490	330	440	17	21	 4630	 3655	2301	 5	 27	 9216	11176	 2766	 8490	*	*	*	 212	 600	2200	 69	 85	10.4	39	12803	 25	   Indiana Univ.-Purdue Univ. at Indianapolis	     Indiana Univ.-Indianapolis	IN	IIA	 643	469	405	469	 820	604	514	 599	170	217	215	  1	 688
1814	                    Indiana U. at Kokomo	IN	public	415	387	 802	*	*	*	*	*	*	*	 1108	 1086	 723	 4	 26	 1139	 2070	 2369	 6140	*	*	*	  90	 660	*	 60	 79	14.7	31	 6303	 23	                      Indiana Univ. at Kokomo	        Indiana Univ. at Kokomo	IN	IIB	 519	432	380	397	 665	548	482	 504	 13	 21	 29	  0	  81
1815	                         Indiana U. N.W.	IN	public	*	*	*	*	*	*	*	*	*	*	 1572	 1241	 907	 5	 18	 2699	 2611	 2369	 6140	*	*	*	  96	 500	*	 56	 78	18.2	 5	 4635	 33	                      Indiana Univ. Northwest	        Indiana Univ.-Northwest	IN	IIA	 544	446	355	410	 694	575	449	 522	 25	 63	 33	  0	 152
1816	                Indiana U. at South Bend	IN	public	*	*	*	*	*	*	*	*	*	*	 1500	 1250	 980	10	 30	 2761	 3341	 2412	 6594	*	*	*	 146	 600	*	 69	 84	14.4	17	 5378	 33	                  Indiana Univ. at South Bend	    Indiana Univ. at South Bend	IN	IIA	 544	445	391	420	 696	571	495	 537	 32	 56	 57	  0	 175
1817	                         Indiana U. S.E.	IN	public	*	*	*	*	*	*	*	*	*	*	 1265	 1256	 911	*	*	 2728	 2660	 2369	 6140	*	*	*	  73	 500	*	 76	 89	16.7	22	 4546	 33	                      Indiana Univ. Southeast	        Indiana Univ.-Southeast	IN	IIA	 529	408	369	422	 679	526	470	 540	 41	 24	 42	  0	 125
1820	                           Manchester C.	IN	private	508	442	 950	22	440	580	370	500	19	25	 1004	  802	 239	23	 63	  909	   51	10440	10440	3850	1960	1890	 350	 525	1450	 63	 72	11.8	20	 7940	 64	                           Manchester College	             Manchester College	IN	IIB	 412	340	289	340	 527	416	348	 420	 24	 22	 17	 11	  74
1821	                               Marian C.	IN	private	455	412	 867	*	400	530	380	460	*	*	  770	  542	 238	15	 42	  923	  427	 9990	 9990	3822	3822	*	 164	 450	1540	 38	 46	10.4	*	 7799	 61	                               Marian College	                 Marian College	IN	IIB	 420	329	303	330	 520	411	379	 411	 15	 23	 34	  5	  79
1822	                     Indiana Wesleyan U.	IN	private	455	408	 863	21	*	*	*	*	*	*	  735	  423	 366	20	 48	 2448	  707	 9210	 9210	3782	1558	2224	*	 700	1000	 49	 51	39.8	15	 6562	 34	                  Indiana Wesleyan University	    Indiana Wesleyan University	IN	IIB	 396	342	294	335	 492	431	367	 418	 22	 23	 34	  2	  81
1824	                         Oakland City C.	IN	private	*	*	*	*	*	*	*	*	*	*	  495	  465	 275	18	 35	  695	  193	 7620	 7260	2984	 998	1986	 186	 740	 900	 41	 41	11.5	*	 5514	 62	                         Oakland City College	           Oakland City College	IN	IIB	*	282	252	269	*	340	314	 328	  3	 11	 10	  4	  28
1825	               Purdue U. at W. Lafayette	IN	public	545	453	 998	24	470	620	390	510	22	27	21804	18744	5874	29	 60	26213	 4065	 2884	 9556	3990	*	*	*	 570	1060	 86	 86	18.2	15	 8604	 67	          Purdue University at West Lafayette	       Purdue Univ.-Main Campus	IN	I	 721	485	423	562	 920	631	548	 722	603	411	400	 29	1443
1827	                       Purdue U. Calumet	IN	public	440	450	 890	22	*	*	*	*	*	*	*	*	*	*	*	 3831	 4186	 2374	 5521	*	*	*	  30	 490	*	*	*	*	*	*	*	                    Purdue University Calumet	      Purdue University-Calumet	IN	IIA	 519	413	364	405	 677	541	479	 530	 47	105	 74	 21	 247
1830	     Rose-Hulman Institute of Technology	IN	private	670	540	1210	30	600	710	490	600	*	*	 3320	 1840	 381	73	 93	 1320	*	13380	13380	4206	2070	2136	 120	 600	 600	 91	 91	13.6	42	13550	 97	          Rose-Hulman Institute of Technology	     Rose-Hulman Inst. of Tech.	IN	IIB	 608	522	447	549	 797	679	568	 715	 51	 29	 21	  0	 101
1832	                        Saint Francis C.	IN	private	450	410	 860	21	380	530	370	470	18	23	  213	  166	  85	13	 36	  513	  247	 8670	 8670	3820	3820	*	  80	 450	1000	 43	 78	12.5	 4	 7440	 48	                        Saint Francis College	          Saint Francis College	IN	IIB	*	334	313	316	*	393	371	 373	  3	  8	 21	  5	  37
1833	                       Saint Joseph's C.	IN	private	494	423	 917	22	430	580	370	480	20	26	  920	  684	 225	24	 42	  815	  222	11200	11200	4250	4250	*	 330	 600	 950	 55	 60	14.8	19	 7360	 67	                       Saint Joseph's College	         Saint Joseph's College	IN	IIB	 373	374	312	344	 486	478	400	 443	 13	 12	 19	  1	  45
1834	                Calumet C. of St. Joseph	IN	private	*	*	*	*	310	410	280	440	17	17	  225	  203	 176	13	 24	  470	  627	 3960	 3960	*	*	*	  25	*	*	 37	 60	10.6	*	 4119	*	                Calumet College of St. Joseph	   Calumet College of St.Joseph	IN	IIB	 324	264	235	265	 426	350	316	 353	  6	  6	  9	  2	  23
1835	              Saint Mary-of-the-Woods C.	IN	private	422	392	 814	20	*	*	*	*	*	*	  150	  130	  88	23	 50	  341	  768	10300	10300	4130	1590	2540	 400	 500	1700	 44	 58	10.2	37	 9678	 75	              Saint Mary-of-the-Woods College	   Saint Mary-of-the-Woods Coll	IN	IIB	 307	234	199	232	 382	295	246	 290	 11	 11	 18	  4	  44
1836	                         Saint Mary's C.	IN	private	538	488	1026	25	490	600	430	530	23	27	  888	  734	 393	26	 60	 1433	   27	12730	12730	4514	2652	1862	 901	 500	1525	 74	 95	 9.9	31	11165	 98	                         Saint Mary's College	           Saint Mary's College	IN	IIB	 524	391	331	388	 675	509	435	 505	 21	 43	 52	  1	 117
1837	                        Saint Meinrad C.	IN	private	*	*	*	*	*	*	*	*	18	23	   69	   44	  36	30	 44	  118	*	 6004	 6004	4226	*	*	  76	 400	2100	 67	 67	 4.9	23	*	*	                        Saint Meinrad College	          Saint Meinrad College	IN	IIB	 357	*	*	332	 405	*	*	 376	  6	  3	  5	  1	  15
1838	                               Taylor U.	IN	private	579	513	1092	25	570	640	460	560	23	28	 1769	 1092	 437	41	 80	 1757	   81	10965	10965	4000	1900	2100	 210	 450	1250	 60	 61	14.2	32	 8294	 98	                            Taylor University	              Taylor University	IN	IIB	 404	352	300	355	 555	486	382	 480	 36	 31	 25	  3	  95
1839	                            Tri-State U.	IN	private	502	409	 911	21	440	570	360	460	18	24	 1262	 1102	 276	14	 40	  978	   98	 9456	 9456	4350	*	*	 186	 468	1323	 53	 53	12.8	24	 7603	 65	                         Tri-State University	           Tri-State University	IN	IIB	 395	324	291	340	 485	395	356	 415	 23	 28	 10	  3	  64
1840	                           U. Notre Dame	IN	private	650	570	1220	*	620	720	540	640	*	*	 7700	 3700	1906	79	 96	 7671	   30	16850	16850	4400	4400	*	 147	 600	1350	 96	 92	13.1	46	13936	 97	                     University of Notre Dame	       University of Notre Dame	IN	I	 798	562	470	637	 985	701	573	 787	274	195	164	 11	 644
1842	                           Valparaiso U.	IN	private	*	*	*	*	530	670	470	590	25	30	 2075	 1727	 520	49	 81	 2501	  198	11800	11800	3260	1300	1960	 450	 500	 800	 87	 89	14.2	23	 9681	 95	                        Valparaiso University	          Valparaiso University	IN	IIA	 559	423	372	446	 681	525	459	 548	 67	 58	 74	  5	 204
1844	                               Wabash C.	IN	private	*	*	*	*	540	660	440	580	*	*	  800	  623	 256	41	 76	  801	    5	12925	12925	4195	1480	2715	 250	 500	 635	 78	 85	 9.9	55	14904	 72	                               Wabash College	                 Wabash College	IN	IIB	 612	474	371	501	 770	602	482	 637	 31	 22	 20	  1	  74
9563	                        Indiana State U.	IN	public	434	391	 825	20	360	500	330	450	17	22	 5659	 4761	3147	10	 31	 8596	 1949	 2802	 6892	3706	*	*	*	 600	2500	 72	 76	16.6	 8	 6996	 40	                     Indiana State University	       Indiana State University	IN	I	 500	394	343	423	 647	513	438	 545	248	133	151	 16	 548
1903	                                Baker U.	KS	private	*	*	*	23	*	*	*	*	20	25	  602	  483	 206	21	 47	  958	  466	 8620	 8620	4100	1900	2200	 310	 400	2250	 58	 68	11.0	21	 6136	 65	                             Baker University	               Baker University	KS	IIB	 369	318	288	327	 443	396	346	 397	 18	 18	 16	  0	  52
1904	                              Bethany C.	KS	private	*	*	*	23	*	*	*	*	18	24	  878	  816	 200	16	 41	  706	   62	 8740	 8740	3363	1463	1900	 105	 550	1700	 62	 68	11.6	29	 7718	 48	                              Bethany College	                Bethany College	KS	IIB	 335	280	248	281	 415	360	308	 350	 16	  9	 24	  2	  51
1905	                               Bethel C.	KS	private	*	*	*	22	*	*	*	*	19	26	  202	  184	 122	19	 42	  537	  101	 8540	 8540	3580	1960	1620	 200	 500	1400	 61	 80	 8.8	32	 8324	 56	                               Bethel College	                 Bethel College	KS	IIB	 325	285	267	285	 408	356	336	 358	 16	 19	  8	  5	  48
1915	                      Fort Hays State U.	KS	public	*	*	*	*	*	*	*	*	*	*	 1363	 1363	 806	*	 33	 3640	  706	 1734	 4869	2950	2950	*	*	 500	*	 65	 68	18.1	*	 5804	 44	                   Fort Hays State University	     Fort Hays State University	KS	IIA	 446	378	325	377	 556	475	412	 474	 84	 56	 71	 21	 232
1926	                      Pittsburg State U.	KS	public	*	*	*	21	*	*	*	*	*	*	 1419	 1313	 813	11	 30	 4469	  499	 1778	 5424	3000	3000	*	*	 300	2000	 52	 52	23.2	*	 1834	 58	                   Pittsburg State University	     Pittsburg State University	KS	IIA	 450	381	331	375	 567	484	425	 477	103	 76	 70	  4	 291
1927	                        Emporia State U.	KS	public	*	*	*	20	*	*	*	*	18	23	 1256	 1256	 853	43	 79	 3957	  588	 1729	 5401	3144	1512	1632	*	 450	1888	 72	 75	19.3	 4	 5527	 50	                     Emporia State University	       Emporia State University	KS	IIA	 435	390	330	367	 553	499	427	 471	 67	 67	 78	 26	 238
1928	                         Kansas State U.	KS	public	*	*	*	*	*	*	*	*	19	26	 5880	 4075	2833	25	 55	14914	 2246	 1713	 6995	3120	3120	*	 403	 600	2000	 76	 86	18.5	22	 6122	 54	                      Kansas State University	        Kansas State University	KS	I	 550	419	368	440	 686	530	466	 554	305	231	259	 63	 858
1929	                      Kansas Wesleyan U.	KS	private	*	*	*	21	*	*	*	*	*	*	  589	  575	 148	16	 40	  474	  258	 8400	 8400	3250	1850	1400	 120	 500	1400	 63	 55	12.4	14	 6535	 68	                   Kansas Wesleyan University	     Kansas Wesleyan University	KS	IIB	 337	290	265	293	 394	343	299	 340	 11	 14	 10	  3	  38
1933	                            McPherson C.	KS	private	*	*	*	22	*	*	*	*	*	*	  420	  293	  93	11	 32	  336	   80	 7950	 7950	3750	1550	2200	 260	 600	2740	 54	 54	 9.8	45	 9754	 48	                            McPherson College	              McPherson College	KS	IIB	 318	274	254	272	 397	353	313	 342	  7	 16	 11	  3	  37
1937	                               Ottawa U.	KS	private	*	*	*	*	*	*	*	*	16	24	  607	  388	 236	 8	 19	  538	   36	 7250	 7250	3245	1945	1300	*	 400	2730	 47	 57	14.5	19	*	 46	                            Ottawa University	              Ottawa University	KS	IIB	 338	292	264	284	 410	348	309	 338	 13	 12	 22	  8	  55
1940	                                 S.W. C.	KS	private	*	*	*	21	*	*	*	*	*	*	  213	  155	  75	28	 66	  504	  147	 7200	 7200	3532	*	*	*	 550	1500	 56	 56	11.8	12	 7818	 52	                         Southwestern College	           Southwestern College	KS	IIB	 340	318	278	311	 415	388	341	 380	 16	 10	 10	  3	  39
1943	                           Saint Mary C.	KS	private	*	*	*	*	*	*	*	*	20	26	  273	  229	  66	25	 60	  439	  415	 7800	 7800	3880	3820	*	 270	 800	*	 50	 80	 8.2	45	 7364	 53	                           Saint Mary College	             Saint Mary College	KS	IIB	 336	301	261	282	 390	358	313	 335	 10	 11	 15	  5	  43
1946	                                Tabor C.	KS	private	*	*	*	22	*	*	*	*	*	*	  257	  183	 109	19	 41	  396	   38	 7850	 7850	3410	2010	1400	 200	 400	1500	 55	 70	10.0	15	 7233	 53	                                Tabor College	                  Tabor College	KS	IIB	 304	*	222	257	 385	*	282	 326	  8	  5	  8	  3	  24
1948	                               U. Kansas	KS	public	*	*	*	23	*	*	*	*	20	26	 8579	 5561	3681	25	 50	17880	 1673	 1650	 6994	3384	*	*	 388	 700	2681	 88	 94	13.7	17	 9657	 57	                         University of Kansas	      University of Kansas-Main	KS	I	 579	422	367	485	 714	529	458	 603	474	297	204	  6	 981
1949	                             Washburn U.	KS	public	*	*	*	*	*	*	*	*	*	*	 1100	 1078	 560	*	 36	 3157	 2705	 2790	 4774	3210	1410	1800	  32	 450	1000	 82	 82	13.8	*	 5828	 53	                          Washburn University	            Washburn University	KS	IIA	 594	438	333	457	 719	540	416	 561	 76	 55	 59	 11	 201
